Feature ranking:
1. log_length (0.15617514444484923)
2. metric_value_timestamp_value_mean_std (0.0944561640746317)
3. trace_timestamp_skew (0.08486247358390982)
4. trace_timestamp_std (0.0836059238706141)
5. trace_start_time_nunique (0.08032521007963583)
6. trace_timestamp_mean (0.0799064348184136)
7. trace_trace_id_nunique (0.07755010401506701)
8. trace_end_time_nunique (0.06663163785744787)
9. trace_timestamp_nunique (0.06579197764645527)
10. trace_length (0.05656012952800056)
11. trace_endpoint_name_nunique (0.044757654403497354)
12. trace_host_ip_nunique (0.03603833840625663)
13. trace_service_name_nunique (0.033820045102042104)
14. trace_status_code_std (0.013000456538196703)
15. metric_length (0.01028085368795651)
16. trace_span_id_nunique (0.008137426242743736)
17. trace_parent_id_nunique (0.008100025700281916)
